Harar;Ethiopia;unknown
Dire Dawa;Ethiopia;unknown
Adama;Ethiopia;unknown
Mek'ele;Ethiopia;unknown
Awasa;Ethiopia;unknown
Adigrat;Ethiopia;unknown
Bishoftu;Ethiopia;unknown
Jijiga;Ethiopia;unknown
Nekemte;Ethiopia;unknown
Dessie;Ethiopia;unknown
Debre Marqos;Ethiopia;unknown
Shashamane;Ethiopia;unknown
Arba Minch;Ethiopia;unknown
Soweto;South Africa;unknown
Khayelitsha;South Africa;unknown
iBhayi;South Africa;unknown
Jeffreysbay;South Africa;unknown
East London;South Africa;unknown
Togdheer;Somalia;unknown
Nugaal;Somalia;unknown
Bari;Somalia;unknown
Sanaag;Somalia;unknown
Mudug;Somalia;unknown
Hammanskraal;South Africa;unknown
Mogadishu;Somalia;unknown
Somaliland;Somalia;unknown
Hargeisa;Somalia;unknown
Burao;Somalia;unknown
Bosaso;Somalia;unknown
Djibouti;Djibouti;unknown
Obock;Djibouti;unknown
Asmara;Eritrea;unknown
Massawa;Eritrea;unknown
Tessenei;Eritrea;unknown
The Sahel;Eritrea;unknown
Khartoum;Sudan;unknown
Meroe Pyramids;Sudan;unknown
Port Sudan;Sudan;unknown
Atbara;Sudan;unknown
Karima;Sudan;unknown
Dongola;Sudan;unknown
Wadi Halfa;Sudan;unknown
N'Djamena;Chad;unknown
Niamey;Niger;unknown
Agadez;Niger;unknown
Zinder;Niger;unknown
Balleyara Market;Niger;unknown
Diffa;Niger;unknown
Cotonou;Benin;unknown
Parakou;Benin;unknown
Grand Popo;Benin;unknown
Abomey;Benin;unknown
Ganvie;Benin;unknown
Abuja;Nigeria;unknown
Calabar;Nigeria;unknown
Lagos;Nigeria;unknown
Uyo;Nigeria;unknown
Kara;Togo;unknown
Lom;Togo;unknown
Kpalime;Togo;unknown
Accra;Ghana;unknown
Kumasi;Ghana;unknown
The Volta Region;Ghana;unknown
Koforidua;Ghana;unknown
Cape Coast;Ghana;unknown
Sekondi-Takoradi;Ghana;unknown
Tamale;Ghana;unknown
Ouagadougou;Burkino Faso;unknown
Bobo-Dioulasso;Burkino Faso;unknown
Banfora;Burkino Faso;unknown
Abidjan;Cte d'Ivoire;unknown
Yamoussoukro;Cte d'Ivoire;unknown
San Pedro;Cte d'Ivoire;unknown
Bouak;Cte d'Ivoire;unknown
Monorovia;Liberia;unknown
Robertsport;Liberia;unknown
Paynesville;Liberia;unknown
Providence Island;Liberia;unknown
Mount Nimba Strict Nature Reserve;Guinea;unknown
Conakry;Guinea;unknown
Kankan;Guinea;unknown
Bissau;Guinea-Bissau;unknown
Bafat;Guinea-Bissau;unknown
Bubaque;Guinea-Bissau;unknown
Gab;Guinea-Bissau;unknown
Banjul;The Gambia;unknown
Dakar;Senegal;unknown
Saint-Louis;Senegal;unknown
Nouakchott;Mauritania;unknown
Ouadne;Mauritania;unknown
Chinguetti;Mauritania;unknown
Bamako;Mali;unknown
Mopti;Mali;unknown
Sgou;Mali;unknown
Sikasso;Mali;unknown
Timbuktu;Mali;unknown
Falso Cabo Blanco;Western Sahara;unknown
Layoune;Western Sahara;unknown
Dakhla;Western Sahara;unknown
Marrakesh;Morocco;unknown
Tangier;Morocco;unknown
Agadir;Morocco;unknown
Rabat;Morocco;unknown
